sim_id,p_NiNi_a,p_NiNi_D0,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
1006547.0,1.1408537787815483,0.8230467874315509,4.201847038889498,1.3876049004459745,5.546044488381846,2.8550468318235294,-1.6744323071034108,-1.133753884403205,6.5656789000001,3.3162461155967953,3.0456789000001003
1006548.0,1.087424588421871,0.5033689711528045,4.227350045500915,1.246924588647552,3.2748450802921987,3.2270298523995726,-0.7641336310238904,-0.23139075123907124,6.19646786076993,4.218609248760929,2.67646786076993
1006549.0,1.5963191802939867,0.4821075816197644,3.6541883735614578,1.518686589620938,6.044416249614939,1.5820457559414183,-5.215115001810911,-0.5372189079506725,5.36692068919123,3.9127810920493276,1.8469206891912298
1006550.0,1.7782922719350711,0.5495415833423545,4.043387333509983,1.4006129794189788,4.137009393322952,0.9459457908759499,-0.5637995807810718,-0.072334076678418,6.05048277272269,4.377665923321582,2.53048277272269
1006551.0,0.9638467171201739,0.6148185482574313,4.591491463098959,2.0305127707703,1.9239753203757743,3.046777502950862,-2.571558415840622,-1.03566363151574,5.95012270368415,3.4143363684842605,2.4301227036841504
1006552.0,1.6024525281423068,0.05588529588815773,4.4042577066698065,1.8804563226054891,2.4147094227667636,3.7820665501007134,-0.15361687683753622,-0.13000346779448724,6.02166792012819,4.319996532205513,2.5016679201281904
1006553.0,2.079567391501075,0.19193701520803946,3.6898387233384007,1.5547956775409353,4.269037160535194,1.9499011163521212,-4.093552160769204,-0.773331222763785,5.17006864904411,3.676668777236215,1.6500686490441097
1006554.0,0.9996939134696196,0.4974573497328908,3.772620571286094,3.720260447960545,5.817969940241514,2.0597598655592146,-3.3307774686271228,-0.445590937659015,6.08830327421176,4.004409062340986,2.5683032742117597
1006555.0,1.5205653283637157,0.11546681168581882,4.228486371995116,2.3514678385923116,5.577076725468059,2.2798536457155705,-0.21996246686101606,-0.03978659050038475,6.56671441370773,4.410213409499615,3.0467144137077296
1006556.0,1.466743887443275,0.5644352610301295,4.914509074109007,1.136473476374617,7.300786149588425,2.3282841746157246,-3.4650531114088703,-0.98618478125352,6.5656789000001,3.46381521874648,3.0456789000001003
1006557.0,1.1051481508880936,0.023150672747671103,4.790852691059825,2.2398774276104927,4.902502518103119,1.122069386005789,-1.540614577017814,-0.0124956231664869,6.5656789000001,4.437504376833513,3.0456789000001003
1006558.0,2.1756261687243486,0.8894073556689809,3.6709996101376565,3.0968472760104766,4.753289976858452,2.847425473616157,-1.4125599384797494,-3.18986013367405,5.19267676039378,1.2601398663259502,1.6726767603937795
1006559.0,1.708530397505546,0.2670882359589387,3.8488519041987717,2.302556630766337,5.013517789527362,1.0043035785069345,-3.548818753022896,-0.15215756354457124,5.68358520769721,4.297842436455429,2.1635852076972104
1006560.0,0.8239639078710211,0.6062633143708644,4.067989697000765,0.73374482232672,5.704203011144147,2.3849001118316493,-2.2789335126194894,-0.3254668081510075,6.5656789000001,4.124533191848993,3.0456789000001003
1006561.0,1.3949323225933237,1.026085276852522,3.4117703548756557,1.3094212559778189,2.9939846279991467,2.818749930143552,-1.2501673754027354,-2.968381413853675,4.78092378175409,1.4816185861463254,1.2609237817540904
1006562.0,1.4005421476809174,0.22091980977903883,4.110383322248149,2.9290961765294394,2.8752859320754234,2.035574924895713,-1.8211921867817966,-0.257966926459305,5.82911036375092,4.192033073540695,2.30911036375092
1006563.0,0.9466463421700888,0.7770212276557755,2.813018564160052,2.1804347086288964,6.9854298454433925,1.3316582945050046,-3.61455936770667,-1.0535098509238674,4.10239349376729,3.396490149076133,0.5823934937672903
1006564.0,0.8557212602906663,0.7755652425800779,2.7856635912926277,1.5064917013147214,2.2710104100071495,1.96355188786166,-1.1514305006139391,-2.82712396679805,3.40007996067777,1.6228760332019503,-0.11992003932222994
1006565.0,1.1611390131606176,0.7565209618256217,4.416505583844439,3.318416197850759,5.521426348698551,4.009094676332292,-0.14189220170445566,-3.53700927702405,6.5656789000001,0.91299072297595,3.0456789000001003
1006566.0,1.4834203622455995,0.2527821456004615,3.839027371844037,1.5077613286923865,4.877837141260809,2.80547566897742,-1.872131030434576,-0.94262540681423,5.36480603803099,3.5073745931857703,1.8448060380309896
1006567.0,0.4091629276498303,1.053734492507797,4.220156086311993,2.5376905262875558,6.968447429015123,2.2582289384175995,-1.2031122491583326,-0.35107014353115,6.5656789000001,4.0989298564688506,3.0456789000001003
1006568.0,2.0446487142751724,0.07506510364562247,3.6865118829840693,1.8059070399527242,4.59863199259698,1.1345145183988827,-3.5124288428019823,-0.17415688391744674,5.27320362796636,4.275843116082553,1.7532036279663603
1006569.0,1.9691158917905076,0.18624879438898712,3.690057367382498,1.5408838830346048,5.657582673602837,1.3839877861694967,-1.3206238711699714,-0.29772566950734,5.33427754991531,4.15227433049266,1.8142775499153099
1006570.0,1.4585627192136226,0.5170265869841899,3.2794821583359957,2.318916345382857,6.35897168622342,1.506818383681922,-3.370992618137306,-0.98864426897925,4.76401568424053,3.4613557310207503,1.2440156842405297
1006571.0,1.4394637316847823,0.6605213595305011,4.07937791638165,1.8756218533633038,4.061033643556954,4.316148538694961,-0.2329200198138125,-1.6532990762929425,5.74636330992542,2.796700923707058,2.22636330992542
1006572.0,0.7426164866073303,1.084791232556379,4.495569323750198,4.050133862692199,2.4631789829814417,3.790855657543371,-1.0037765130242082,-3.33118666541985,5.65185260854109,1.11881333458015,2.1318526085410903
1006574.0,1.0363073043119446,0.5054168952905512,3.062586391983899,2.4023340679584417,3.8832228332554974,0.981446488024294,-1.394770838058027,-0.599097185858815,4.52244975098131,3.850902814141185,1.00244975098131
1006575.0,0.8218397077977762,0.4414529914191954,3.218338263013233,3.0789396357055066,3.0170164006526994,1.39312653108778,-1.8087283875934028,-0.620803095599385,4.41706177883905,3.8291969044006153,0.8970617788390496
1006576.0,1.2691197184593204,0.30752521507562336,4.615758581062385,1.0145591912380192,4.16570283610805,2.0817032096869017,-4.128491483816971,-0.1980933499181255,6.5656789000001,4.2519066500818745,3.0456789000001003
1006577.0,1.2210681973167774,0.32227540121902737,3.7200154490866395,1.5598274025171337,5.715508577270081,1.8069767974943418,-4.596165930202349,-0.24496746830368374,5.69693250685927,4.205032531696316,2.1769325068592704
