sim_id,p_AlAl_phi0,p_AlAl_gamma,p_AlAl_r0,d_Al_rho0,d_Al_beta,d_Al_r0,e_Al_F0,Al_fcc.E_coh,Al_fcc.a0,Al_fcc.E_coh.err,Al_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
00_000042,3.1061355370129085,5.32870425761516,1.7547505108598394,2.3996344942998555,4.536358976358465,1.7131095742201952,-2.544137813859111,-2.81889868459945,3.06117874601798,0.54110131540055,-0.98882125398202
00_000043,0.9491745879047021,6.6542827920290994,4.275312760871463,1.916146255436788,2.8813880203492728,1.306933647481126,-2.4781271876815834,-0.02863362185522475,7.55524951050194,3.331366378144775,3.5052495105019403
00_000044,3.1187407023927047,5.837074929234666,2.8006854463525968,2.2599333981313547,2.9556959534415075,3.1147715596212158,-3.245459693862644,-14.27192265962715,4.28273656936148,-10.91192265962715,0.2327365693614798
00_000045,1.7501744718313275,2.627744947032254,2.0207911349990875,1.4486970489154791,6.0901413416409715,1.2506175629817364,-0.8455776972244173,-0.00312202724455975,7.55524931984506,3.35687797275544,3.50524931984506
00_000046,0.41179903555712605,4.992897947677911,3.928849167490528,3.856104488082631,3.04610802377934,4.841461657596529,-0.11784248567104516,-1.3939508271605325,5.92059388233353,1.9660491728394673,1.8705938823335302
00_000047,1.6340360794376816,4.499213448198775,4.684751134016599,3.2811256216802773,2.5505173176144424,1.287139025744903,-0.07694902887541488,-0.00127921942543624,7.55456559999966,3.3587207805745636,3.50456559999966
00_000048,3.8290484361556993,3.197722266537915,2.702794328641575,3.08636511015154,4.926138036602906,1.2608739519680001,-0.9127924595284274,-0.00682353816031335,7.5552494219616,3.3531764618396864,3.5052494219616
00_000049,2.459645398333349,3.9460338255126497,2.8044881776281096,3.715404717498391,5.454295370414307,2.587864624536426,-4.865476951355741,-3.8348824700506,4.17667339100959,-0.47488247005060025,0.1266733910095903
00_000050,2.5605497193747637,4.94788042338287,2.959721239196941,2.607024201645385,6.091188283252627,2.200837674733737,-3.962328030758454,-0.3544400069620675,7.55524322956521,3.005559993037932,3.5052432295652105
00_000051,3.28800406787033,4.984591215142898,3.9988145739366567,1.1075428053783287,4.930071025570741,4.169167638240285,-4.685966436303313,-27.22237300324,7.55751011426643,-23.862373003240002,3.50751011426643
00_000052,0.36866742799317737,6.393395806367233,2.8853952142817945,3.024427998409451,6.379129812200798,1.8337366285040226,-0.8900490106142094,-0.02833260220861675,7.34970285061251,3.3316673977913833,3.29970285061251
00_000053,0.669902130895834,2.5566714579612,4.597694609461929,2.966425527858407,2.662284576594957,2.6397512335172975,-0.7034065251795711,-0.06446750135735525,7.55456559999966,3.2955324986426446,3.50456559999966
00_000054,3.420722602340665,3.998940768218826,2.574873809628606,1.7704955906367992,2.456547902969369,1.1379527208996332,-3.579881498179321,-0.4524408263795525,5.2386212627532,2.9075591736204474,1.1886212627532
00_000055,3.137115895994704,4.909366002439581,3.631138504707229,3.5379881884334057,5.6498896744843385,3.9569908132025002,-2.6037326682579,-36.5023073770175,5.13707731171543,-33.1423073770175,1.0870773117154302
00_000056,1.3383097065642757,4.448044007681643,4.338967122108897,1.9548102186979146,6.209455237097887,4.40798618750182,-4.725441041104652,-355.5136931026525,7.55456559999966,-352.1536931026525,3.50456559999966
00_000057,3.205770062217946,4.537123478965393,2.218306572331679,3.6789898659196303,3.930879005586552,2.720919064234355,-2.2804335626654915,-21.731890499503177,3.1822103641151,-18.371890499503177,-0.8677896358849
00_000058,2.6788959244155266,2.4051018080563527,4.342500919811065,3.0083610448873923,2.206376984900789,3.715026722599054,-0.7527642143821209,-0.20196478826968325,7.55456559999966,3.1580352117303168,3.50456559999966
00_000059,1.4167701591264492,6.408321565393299,4.768352305549902,1.063348999288603,6.76534366900354,4.222374871687452,-1.6610995100632118,-102.73289202864675,7.55456559999966,-99.37289202864675,3.50456559999966
00_000060,3.0561290309915217,2.6641524049367087,4.16836604664859,2.1981620578820342,2.541511942820239,2.296825039957395,-3.5943093558268857,-0.17715541394545176,7.55456559999966,3.1828445860545482,3.50456559999966
00_000061,2.5095848584573854,6.592751413579404,2.1084201628174695,3.227926612639571,4.102988663867772,1.0856005567652485,-0.28483052566458245,-0.013118907446395276,4.66444693306102,3.3468810925536046,0.6144469330610205
00_000062,1.1341187254201248,2.326466788356379,3.346310052496665,1.357801679911875,5.120765434128229,2.3586495023747824,-4.371653163202138,-0.3425818118781925,7.55456559999966,3.017418188121807,3.50456559999966
00_000063,0.42712686787510984,6.890079277062235,3.5169062024398623,3.586293858244278,4.352940941853122,2.842573120588123,-0.2158669295885529,-0.0741444611414835,6.02451498924862,3.2858555388585162,1.97451498924862
00_000064,2.3075886673097723,4.365407554839098,4.47251475198524,3.3269109272333957,3.1889279399222117,3.5581409221527722,-2.889938564733571,-1.440790737468955,7.55456559999966,1.9192092625310448,3.50456559999966
00_000065,2.206092317281242,5.219539189314878,2.5259447585557453,2.3087167464433227,3.528240268834986,3.2209389021161807,-1.929855022734377,-21.711122729724725,3.61686457048088,-18.351122729724725,-0.4331354295191199
00_000066,0.677272247077665,6.816929514688651,4.680532484499919,3.82657655672202,2.435868127169199,3.2185992560696173,-2.972921268035298,-0.8840538767219726,7.05124865814183,2.4759461232780273,3.0012486581418303
00_000067,0.6396559164373465,6.389854271002126,2.324335883702655,3.1950742366790825,4.639350575177786,1.6601325636399085,-4.441877293023268,-2.698913221799775,3.48783526545159,0.6610867782002248,-0.5621647345484098
00_000068,1.9520102412434466,6.591899850641539,2.0870163017246535,3.3804322159336238,2.9228347894826605,4.232717960287388,-4.047388063990709,-3298.0982913753,1.74400186346037,-3294.7382913753,-2.30599813653963
00_000069,0.0946956885920717,5.211112636999188,4.137824837395522,2.7141976107534984,3.8250295207508387,3.620779849930066,-2.1758643289898414,-5.6393607226019,5.38877010080924,-2.2793607226019,1.3387701008092403
00_000070,2.089151683330527,4.7864016158311,2.789772748686985,3.9974702256835934,5.450093372764789,1.4742468456424924,-0.238492391445277,-0.003171797182314675,7.55524828937164,3.356828202817685,3.5052482893716403
00_000071,2.150290247652079,3.05588639014286,2.2201664737907363,3.876197910670298,6.742144995076237,1.2553572131537574,-4.076555688524842,-0.021194717041861776,7.55524897307863,3.338805282958138,3.50524897307863
00_000072,2.9426528929135904,5.425306882774252,3.9144055944941494,2.2509063560203075,4.073148700724594,4.361597228791261,-4.647451902002001,-46.00334758519025,5.44865759600506,-42.64334758519025,1.3986575960050605
00_000073,1.9385087458552068,3.0968089905147975,4.387703610580039,1.3119925030452397,5.2282872820942785,1.834455262923584,-4.613619799523523,-0.0931558776147935,7.55456559999966,3.2668441223852063,3.50456559999966
00_000074,2.9646856464900737,3.683064733003162,4.92882617896805,3.337505296585996,2.883645144071295,3.403702508386285,-2.710638111377582,-0.8490399504826724,7.55456559999966,2.5109600495173274,3.50456559999966
00_000075,0.7782188737976572,5.7644908090053635,4.3826166139473735,3.0964328160695596,6.052796651637759,1.0927162993871438,-0.0832883920205143,-0.0002814247410586575,7.55456559999966,3.3597185752589414,3.50456559999966
00_000076,2.6500311519967044,3.004241146447,3.9842750857807117,1.9903437274314553,5.336168410348729,3.564624259041129,-0.3448247579266397,-0.870002584623595,7.55456559999966,2.489997415376405,3.50456559999966
00_000077,2.8193636264117163,4.161419783980305,3.4238493395985774,1.5767615747960733,3.9716933861355823,1.939857186179879,-2.2057738704804923,-0.05879286922610225,7.55524950755059,3.3012071307738977,3.50524950755059
00_000078,1.664733988758091,3.758914227569031,3.449785146232999,1.0700957449658564,2.8617448409422233,4.932667511692671,-0.8403042019938844,-14.9169843998768,4.89523200401308,-11.5569843998768,0.8452320040130799
00_000079,1.0991886039714454,5.086984746765673,3.2532987183237414,3.5850249987936897,5.175901642494036,4.0189276892092405,-3.3854401709722346,-1074.306328538995,3.17554238268482,-1070.9463285389952,-0.8744576173151799
00_000080,0.4641850996769133,3.314388136215319,2.7936724391729095,2.2153922524398433,3.3583677451566603,1.325257104762088,-0.4631578814781836,-0.00531102862732175,6.79904611908622,3.354688971372678,2.74904611908622
00_000081,2.4594959718721197,4.99780269594217,2.7582217343084885,3.493992007807624,2.0862282916513952,1.3800849001508126,-3.3894254673442057,-1.9648539466718975,4.81455601876651,1.3951460533281024,0.7645560187665099
00_000082,1.287831458544879,4.1780515079768445,3.031389602928242,3.931406705772228,3.0491823596726646,4.218316843432699,-2.707055888190361,-192.951548102683,3.3793915698957,-189.591548102683,-0.6706084301042998
00_000083,0.4730851324275499,4.9323786567347225,4.450284246340759,2.850974521314778,4.021411421770973,4.928549958151291,-4.86084789748118,-230.26270039347426,5.15259943251877,-226.90270039347425,1.1025994325187698
00_000084,1.716164674452533,6.616537330862893,3.3643052858757723,3.5555688834765786,3.7324779600680613,2.612210913497455,-0.1481293182717378,-0.02774297561018325,6.30664457568315,3.3322570243898166,2.2566445756831506
00_000085,2.253361461207996,3.676776396805342,3.758864768642196,2.7911289313166106,3.9756301620175245,2.189821870586457,-3.815968455672448,-0.222464469340525,7.55456559999966,3.1375355306594748,3.50456559999966
00_000086,0.864512145432392,5.74244280266916,4.156044316933897,3.3344943218983065,2.8451806667640933,3.038339959199377,-3.607923623123675,-1.7752137664087575,6.34892329044163,1.5847862335912424,2.29892329044163
00_000087,0.949855725236462,5.588736180900806,4.83894168923944,1.485539595882013,2.4775527964672084,4.5046678031361225,-3.744196746959493,-3.231621582683525,7.06024801861711,0.1283784173164748,3.0102480186171103
00_000088,1.2810364334790572,4.135604731422369,3.186093267065918,3.5609972705324173,2.8001194470897577,3.4392124481490014,-0.9736311011447425,-3.6686469567743,4.9701387350984,-0.3086469567743002,0.9201387350984005
00_000089,2.059778702430332,4.219524227935636,3.5231590265906125,1.1581420242817517,2.9488327039746713,2.390531664266952,-4.492438855074469,-0.5052772536244375,6.19853789636197,2.8547227463755624,2.1485378963619706
00_000090,0.3560047219587015,5.4526687189773355,4.249747266520625,1.3071923534778098,3.7941550594386744,2.1173840056034843,-2.87091087129138,-0.096719938000597,7.55524947105541,3.263280061999403,3.50524947105541
00_000091,1.1164733947392296,6.334139935668055,4.633537683326102,1.3546140123366635,3.0918951444774487,3.9832616002770562,-0.49575740909893007,-0.28132935719247,7.55456559999966,3.0786706428075297,3.50456559999966
00_000092,1.1926676420995173,5.790336468934823,3.392190300021349,3.9583701749714395,4.3195808641396285,3.2612533300017468,-3.268810168975577,-10.07476549188165,4.84755467677251,-6.71476549188165,0.7975546767725099
00_000093,3.1166195025365853,2.5778940121323006,4.087244643790406,1.263973831107804,4.8598086618260155,1.986728012727459,-2.337440249122609,-0.06637867873793225,7.55456559999966,3.2936213212620675,3.50456559999966
00_000094,2.6893956692086864,6.258264547902012,3.124565244143531,1.243545293370165,3.74793103768911,2.508936790719566,-0.7980645380351747,-0.12714117697371624,5.72332120571499,3.232858823026284,1.6733212057149904
00_000095,2.724196656069032,4.155272824772284,4.433509337423087,3.486134714346608,5.277621523620894,3.717890152029481,-4.227657436381177,-20.07185416945675,7.55456559999966,-16.71185416945675,3.50456559999966
00_000096,0.34112335483119416,4.813030910275406,2.7255154284590515,3.964689624159019,2.8561786848724466,1.9959134509294794,-0.8818410298081432,-0.921564017580685,4.33478385560621,2.438435982419315,0.2847838556062099
00_000097,2.0690034779611834,3.3020101726583864,1.773170497662273,3.4817550214522797,5.1940783804635515,1.2804379977367568,-4.717132214072349,-0.17637793658216724,3.79686546056562,3.1836220634178325,-0.25313453943438
00_000098,3.172969126137692,6.072570223411393,2.236010316643684,1.8269216907288497,4.940586168631582,3.2213570804840495,-4.249474540142173,-5673.007030070575,1.46861624747261,-5669.647030070575,-2.5813837525273895
00_000099,1.5498302757591433,4.729508992081309,3.8679964778759888,1.7382612935197896,3.3302728720095844,3.9109930189298834,-4.941655980053355,-14.7958261213666,5.50633783079012,-11.4358261213666,1.4563378307901198
00_000100,0.07828266432405215,4.737371977775951,4.204988134439208,1.4370270024198435,2.4347218341787547,1.2532894050973167,-4.915205079226828,-0.20518425670151275,6.37313470310351,3.154815743298487,2.32313470310351
00_000101,2.4741438919778096,4.71922083053318,4.242309434528828,2.1108143866124065,5.87311023347252,4.13272881290849,-0.05113384728856385,-1.1415375885686174,7.55456559999966,2.2184624114313825,3.50456559999966
00_000102,2.0015308313265563,6.073396990533588,4.238310424486116,2.3748813672566746,5.3927177167028075,4.493224326861746,-2.7211640164978537,-96.48552448374075,7.55750535935005,-93.12552448374075,3.5075053593500503
00_000103,1.744300811133564,6.363485507812282,2.030445603439331,3.9710745298332397,4.465496951569461,1.4622909323937865,-0.11735129743042627,-0.0107041278347735,4.54058044024303,3.3492958721652264,0.49058044024303005
00_000104,1.6202826840775175,4.561307342620866,4.391053610183873,3.091900243468552,5.206249580739488,4.813654799699841,-1.383526228888937,-100.01570786900125,7.55456559999966,-96.65570786900125,3.50456559999966
00_000105,0.8788418613534853,4.561919779549004,1.7853178250982267,2.08894515334706,2.812535918065746,2.5237107003162853,-0.3979458881179063,-2.830739585751325,2.73972667049853,0.5292604142486748,-1.3102733295014697
00_000106,0.9281567999891239,4.638769944257653,4.769708361752054,2.7794443340054436,2.9546676280123094,2.406842570122785,-4.506238158842911,-0.31061563902677,7.55456559999966,3.04938436097323,3.50456559999966
00_000107,0.295344328116623,5.921881812973252,3.789151424083855,2.4551780551988682,5.112192930421394,1.4939038329015584,-1.4143294533130901,-0.01630256156211015,7.55524870199652,3.3436974384378897,3.5052487019965204
00_000108,2.5390919879696283,6.059757544123307,3.6864396739569507,1.4715227881607058,2.019722435071175,2.9479463323116653,-4.168082853035316,-3.432600087754425,5.85953280938788,-0.07260008775442506,1.8095328093878802
00_000109,1.9097469803861777,6.556175787778553,2.86927989694525,2.0782408785198863,4.862737124901363,2.4956642084331775,-0.3930977149983361,-0.07020628665398125,5.36362192791378,3.2897937133460187,1.31362192791378
00_000110,1.5762707253427173,2.448872473931079,3.262267816475641,1.5391031940692004,5.870289767335407,1.3256404593794873,-1.053635594858687,-0.005286698471660175,7.55456559999966,3.35471330152834,3.50456559999966
00_000111,3.4722111210539377,4.548806928996807,2.630613650420721,2.485079013465647,5.047915330591714,3.236620942204936,-3.0920846917780587,-85.82020782627225,3.21404664016072,-82.46020782627225,-0.8359533598392797
