sim_id,p_AlAl_phi0,p_AlAl_gamma,p_AlAl_r0,d_Al_rho0,d_Al_beta,d_Al_r0,e_Al_F0,Al_fcc.E_coh,Al_fcc.a0,Al_fcc.E_coh.err,Al_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
64.0,3.180293233220497,3.6546752987523012,4.092632706444192,2.348048790883432,3.08602896071233,3.9494998911235886,-4.38482438344317,-5.571084358341775,6.33776323947998,-2.211084358341775,2.28776323947998
117.0,1.5192809190626402,4.9974617765913125,4.0676790922470385,3.5656826328504505,4.156081192696493,4.488227707306571,-0.5842498240362611,-4.8378657639969,6.39799122444597,-1.4778657639969004,2.3479912244459697
147.0,0.7406375550509864,5.052683414555121,4.023156081085789,2.2505771867528526,2.0897171815495827,3.228781902160848,-1.0949016039557544,-0.734972884824695,6.39897806861076,2.625027115175305,2.3489780686107604
54.0,3.8346452289525765,7.231169698183766,4.184369584271347,2.44148487003395,2.9877738803949376,3.8532162645052015,-4.567604535209744,-6.092571557263275,6.40061384557833,-2.732571557263275,2.35061384557833
20.0,3.3829501831897058,4.4523193086832835,3.3509614074926204,2.136488879640145,4.037496203163021,3.7959443672713533,-0.30300830438798765,-0.415916740073995,6.33474871295367,2.9440832599260047,2.28474871295367
70.0,3.404898139942889,6.752299362075013,3.6451147621783297,3.468986720076556,3.7717880204396357,2.4916115545049755,-1.7052204015964767,-0.2338576939453605,6.40079944422311,3.126142306054639,2.35079944422311
98.0,0.36311519874755377,7.006624412722276,4.439363061734504,3.0633327610605146,4.322060271948889,4.3234006758654315,-2.218444109652042,-15.3038504352036,6.33337009949631,-11.9438504352036,2.2833700994963104
117.0,1.034242044596021,5.941069806570743,4.180769335739006,2.973217315994873,3.3999421096735167,3.3876475768508802,-4.126739429200996,-2.825176241994,6.33317155813665,0.534823758006,2.28317155813665
121.0,0.26912519371304977,4.2895075120719355,3.5975161798404742,1.9475247001388887,2.9820675174223803,1.7985076922985872,-1.1237698487710674,-0.0566056389982595,6.33310223754055,3.3033943610017404,2.2831022375405503
139.0,0.4908762725968784,3.927264069066521,4.398364231978122,3.410491108088726,2.2926192048822336,3.2237325513316186,-4.215709677317162,-3.134021096984525,6.3328279150019,0.22597890301547485,2.2828279150019
