sim_id,p_NiNi_a,p_NiNi_D0,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_latticetype,e_Ni_ecoh,e_Ni_B,e_Ni_a0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,param,param,param,qoi,qoi,err,err
37013.0,1.8088677506915123,0.005679472139224151,2.489015869776647,3.749655437181416,2.0623863696950306,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450192697849525,3.52045682125829,-0.00019269784952502533,0.00045682125829005216
37124.0,1.6809458678582487,0.015536840907857785,2.489015869776647,2.7921387074707877,3.5964947215513154,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4509892445851,3.51932594783028,-0.0009892445850994136,-0.0006740521697201629
37285.0,1.624838607617137,0.005606541776620455,2.489015869776647,2.3751026114468323,6.4248630670892215,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450462806317925,3.5191709478021,-0.00046280631792505744,-0.000829052197900193
4520.0,1.063610231256049,0.0009206444299636463,2.489015869776647,2.16967786955624,3.9093393896121174,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45075995180375,3.51974518991004,-0.0007599518037499919,-0.0002548100899599781
4656.0,1.9776050754008265,0.01670403256738473,2.489015869776647,2.0353188133835496,6.862536837451225,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450330200048825,3.51923618612079,-0.0003302000488245582,-0.0007638138792098736
37486.0,1.9941818792455563,0.0031071665256529046,2.489015869776647,2.021949025341434,3.897402610240271,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450050968192475,3.52003111296406,-5.096819247452089e-05,3.111296405977626e-05
4759.0,1.9008797696304496,0.016786745665100078,2.489015869776647,2.5354799661901386,4.783009048153771,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450440028976975,3.51933061821854,-0.0004400289769748156,-0.0006693817814600322
37572.0,1.8597174730708483,0.014939222938958885,2.489015869776647,1.9901178076357322,5.699479568518804,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450458205105975,3.51938118467093,-0.00045820510597494035,-0.0006188153290698217
4809.0,1.9277068388623684,0.01388767552161252,2.489015869776647,1.9864771651669595,2.7131794556436457,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450269900333625,3.52049445243307,-0.00026990033362483956,0.0004944524330698918
37618.0,1.953857094598649,0.039761177590791896,2.489015869776647,1.00314407638112,4.630902334969917,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4506273137396,3.52047074927664,-0.0006273137396002326,0.0004707492766398147
