sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
11.0,3.5481786376174265,2.1039519542643097,2.9868929592596083,1.3683699895814834,4.6236090437148425,2.2626424762573722,-3.971997858350732,-0.375016754273215,6.5656789000001,4.074983245726785,3.0456789000001003
12.0,3.825093650839228,5.37657037484478,3.2004812917078387,3.1855104704880963,4.687555074869753,3.464883729969181,-2.3624708430147443,-10.11058905851885,4.86048144023616,-5.660589058518849,1.3404814402361596
13.0,1.519653212860551,5.005056967540272,3.7759823722627925,3.6843216051715277,6.696951157799042,1.1027178589756463,-2.373093764711473,-0.015782142016062026,6.5656789000001,4.434217857983938,3.0456789000001003
14.0,3.685418859302989,2.285176838669521,4.295016020377362,1.4440735459961342,4.415140502604862,2.9915892777876305,-2.053935968417163,-0.92901965613918,6.5656789000001,3.52098034386082,3.0456789000001003
15.0,2.226898182517886,5.513631361525961,3.125533612822729,3.9405906468939946,2.4090960706249818,2.8952042424517708,-0.2689649439409836,-0.243428788531015,5.60645728251024,4.206571211468985,2.08645728251024
16.0,1.190036028428116,6.51261748280602,1.2939914049160577,2.7448916052386565,3.470125998741734,1.389963511569631,-1.0742636598956792,-8.085139403230626,1.76436630981058,-3.6351394032306255,-1.75563369018942
17.0,0.9666402466535904,2.782370863111768,2.6929836676425274,1.352435284587703,2.877619379669339,2.8589885840566818,-4.344609579191737,-24.365956685586,11.15611172162,-19.915956685586,7.636111721620001
18.0,3.0539063597689853,6.721141204201435,2.5825671438662545,3.58607082364692,4.354854633710908,1.194584854531712,-3.2112221612144447,-0.1053287011315265,4.90855561125432,4.344671298868474,1.3885556112543198
19.0,3.6556461955448674,5.329145749459617,3.4541264470421877,1.017514074452568,6.773158204396288,4.59620219632581,-0.5600558794753256,-515.2749578972875,6.10116063387309,-510.82495789728756,2.58116063387309
20.0,3.4435200723500614,3.534763026989175,1.7444026379834967,1.3266938394941543,5.869990302378416,1.352448576295107,-3.895842132488208,-0.03874127317389875,6.56671417149061,4.411258726826102,3.0467141714906103
21.0,1.4520332800509679,4.07861423505074,2.950743539135509,3.209180678956155,3.973761766616416,2.993323682235628,-3.5389368902418203,-16.1796625694226,3.97575101646559,-11.7296625694226,0.45575101646559
22.0,1.2812058032723037,2.215031202542983,2.5251622392348465,2.824088647651201,2.0335194789048305,2.300884362013135,-4.459418621971201,-13.3147519402507,3.30561027685333,-8.864751940250699,-0.21438972314666982
23.0,3.5740651055932227,3.8982833619784616,2.8507333681442124,3.210825788891378,5.409672764871789,1.851327262253267,-1.671177579544607,-0.10428961625768225,6.5656789000001,4.345710383742318,3.0456789000001003
24.0,3.0914824332824704,5.112628597527101,2.449459682237287,2.9756581902493293,6.663682755769261,2.0809401092510575,-3.377343007942804,-0.5292458732632925,6.56671066580705,3.920754126736708,3.04671066580705
25.0,1.526239156382703,5.57855539501057,2.0716085418797636,1.8770865470232014,2.1317393240841387,3.452494586712283,-1.0569039153027369,-15.15960228195595,3.13098993592995,-10.709602281955949,-0.38901006407005
26.0,0.5915678914246097,3.384912390407242,3.1259362371111776,3.504994749387169,6.0401632346791665,2.7726966439212446,-0.5025746669162254,-0.5827786546919825,6.5667141683921,3.8672213453080175,3.0467141683921004
27.0,0.7406100146097223,5.019250402028159,2.035950330268438,2.6983274749538806,3.439234154177369,2.275050098310436,-3.303187986789034,-39.407961624674,2.15080289073112,-34.957961624674,-1.36919710926888
28.0,2.4173160028361425,5.456263405909755,2.2553911749980324,2.9593998964860213,2.5398743500889873,1.4436697252209245,-0.7669113898007902,-0.38714756010765,4.40490081059714,4.0628524398923505,0.8849008105971401
29.0,3.330377920178637,6.632304468098363,3.721884366271446,1.0497302215962068,6.4826565972263275,2.148364247876135,-1.1822749129722863,-0.13030940656739376,6.5656789000001,4.319690593432607,3.0456789000001003
30.0,2.417075204202426,5.362795511441613,2.03166117291201,3.9913762836792768,2.2288201497731155,1.1509022085236853,-1.6116155514325152,-1.5363530385895574,3.78978393556229,2.9136469614104428,0.2697839355622902
