sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
00_000036,3.8364893216162614,3.1190391718777204,3.164830364065183,2.965231838350212,2.206891350329475,3.0333105637276283,-1.7091984088079553,-1.2668391507184975,5.66464068465407,3.183160849281503,2.1446406846540698
00_000037,3.204193115290801,6.647234097536724,2.415650967727703,1.2500907069882217,2.001587533090714,3.3435875691847228,-1.732733640537091,-9.548279014599174,3.90080264181877,-5.098279014599174,0.38080264181876977
00_000038,2.5881059218376476,3.7183869864028884,4.309624612067509,1.3927160384691322,2.2539413335337306,2.7082271970394123,-3.0793194993295145,-0.2604029440550575,6.5656789000001,4.189597055944943,3.0456789000001003
00_000039,0.5676938633653587,6.890266781010651,4.969033154319271,1.9510723633037976,5.659159891788056,2.7631504866927106,-1.1148764985082895,-0.74266834946406,6.5656789000001,3.70733165053594,3.0456789000001003
00_000040,2.410749822377951,4.284602961382037,1.1968486034656052,2.6738066632897035,2.1636575343753552,1.1334809741613006,-1.7814774622250233,-6.712771025631625,1.88588703031583,-2.2627710256316247,-1.63411296968417
00_000041,0.5532602591337231,6.588597671377554,2.2794171425194967,2.094884901949323,3.841026228096019,4.3458863576795785,-1.771805546677954,-6529.02504240335,1.48867173834837,-6524.57504240335,-2.03132826165163
00_000042,0.21030271238185105,6.5780457698714745,4.471719943713628,1.268902669892873,5.822580068724049,3.345455376444598,-1.3516952789554804,-4.3715165341122,6.5656789000001,0.07848346588779975,3.0456789000001003
00_000043,3.4206348721195012,2.966901681553711,4.242363761490843,3.42216031751185,3.751412425408492,4.123551691988238,-4.6248143858584765,-17.14746512570455,6.5656789000001,-12.69746512570455,3.0456789000001003
00_000044,0.8830667945564276,5.839967111159204,4.6912416173001,1.98703386443338,6.384812823238111,1.6047974615997367,-2.2054461457767394,-0.05718139738323425,6.5656789000001,4.3928186026167655,3.0456789000001003
00_000045,1.0776874330581139,3.7878110683715636,3.566050434014231,3.3355781261494584,2.740745154370683,2.621290639083768,-3.743713447220034,-1.82928377495835,5.53715426430863,2.62071622504165,2.01715426430863
