sim_id, chrg_Mg, chrg_O, MgMg_A, MgMg_rho, MgMg_C, MgO_A, MgO_rho, MgO_C, OO_A, OO_rho, OO_C, MgO_NaCl.a0, MgO_NaCl.c11, MgO_NaCl.c12, MgO_NaCl.c44, MgO_NaCl.B, MgO_NaCl.G, MgO_NaCl.fr_a, MgO_NaCl.fr_c, MgO_NaCl.sch, MgO_NaCl.001s, MgO_NaCl.a0.err, MgO_NaCl.c11.err, MgO_NaCl.c12.err, MgO_NaCl.c44.err, MgO_NaCl.B.err, MgO_NaCl.G.err, MgO_NaCl.fr_a.err, MgO_NaCl.fr_c.err, MgO_NaCl.sch.err, MgO_NaCl.001s.err
sim_id, param, param, param, param, param, param, param, param, param, param, param, qoi, qoi, qoi, qoi, qoi, qoi, qoi, qoi, qoi, qoi, err, err, err, err, err, err, err, err, err, err
9.0, 1.97280639845, -1.97280639845, 0.0, 0.5, 0.0, 928.129797016, 0.328873468006, 0.0, 16003.9918018, 0.112698132096, 32.8906530206, 4.42395613155, 270.289713847, 137.133292747, 136.963975672, 181.518766447, 66.5782105496, 9.77383514882, 9.84954198137, 5.95978914504, 0.0611173761558, 0.177956131548, -6.71028615339, 45.4632927473, -7.04602432795, 28.0687664471, -26.0817894504, -1.20416485118, 0.863541981374, 0.892789145039, 0.00516737615585
10.0, 1.78815057076, -1.78815057076, 0.0, 0.5, 0.0, 1137.50327513, 0.320138469582, 0.0, 20996.1146367, 0.120912918819, 60.8856484412, 4.61226603007, 226.575824497, 83.7878440883, 85.6357485252, 131.383837558, 71.3939902045, 8.9117835461, 9.229666441, 5.8606628595, 0.0537947240993, 0.366266030068, -50.4241755027, -7.88215591165, -58.3742514748, -22.066162442, -21.2660097955, -2.0662164539, 0.243666441001, 0.7936628595, -0.00215527590073
11.0, 1.917557219, -1.917557219, 0.0, 0.5, 0.0, 793.803395239, 0.322038003143, 0.0, 11992.3237254, 0.153403369266, 16.2558983168, 4.2352175, 281.191112437, 160.073380428, 153.566410962, 200.445957764, 60.5588660044, 9.0687258857, 9.00966588069, 5.33563957899, 0.0607578115143, -0.0107825, 4.191112437, 68.4033804282, 9.5564109624, 46.9959577645, -32.1011339956, -1.9092741143, 0.0236658806851, 0.268639578986, 0.00480781151426
12.0, 1.72184249181, -1.72184249181, 0.0, 0.5, 0.0, 1070.6320346, 0.311669193532, 0.0, 15898.6310225, 0.158062673907, 30.0990532748, 4.50019508841, 241.00797555, 97.9215390718, 98.2854629854, 145.617017898, 71.5432182391, 8.50748481582, 8.5285323295, 5.35398340329, 0.0507269733357, 0.254195088411, -35.9920244499, 6.25153907184, -45.7245370146, -7.83298210208, -21.1167817609, -2.47051518418, -0.457467670504, 0.286983403294, -0.00522302666432
13.0, 1.76549235821, -1.76549235821, 0.0, 0.5, 0.0, 907.551852623, 0.299055925642, 0.0, 19814.9848251, 0.221223298799, 32.730983665, 4.14941021456, 301.615286912, 154.997463742, 156.362313805, 203.870071466, 73.3089115849, 10.7263287422, 8.7867766245, 5.4714669522, 0.0668038438052, -0.0965897854449, 24.6152869122, 63.3274637424, 12.3523138055, 50.4200714657, -19.3510884151, -0.251671257752, -0.199223375502, 0.404466952202, 0.0108538438052
14.0, 1.54966816011, -1.54966816011, 0.0, 0.5, 0.0, 837.045835366, 0.30244501936, 0.0, 22559.7904549, 0.190761285662, 42.8171165841, 4.26398628564, -2508.44406492, -2663.59897957, -2538.95183603, -2611.88067469, 77.5774573287, 7.70140838284, 7.65640052567, 4.81222304052, 0.0505691533236, 0.0179862856445, -2785.44406492, -2755.26897957, -2682.96183603, -2765.33067469, -15.0825426713, -3.27659161716, -1.32959947433, -0.254776959477, -0.00538084667638
15.0, 1.80936581056, -1.80936581056, 0.0, 0.5, 0.0, 818.793595541, 0.314536641297, 0.0, 15368.3826613, 0.164715391661, 73.0501054611, 4.16267476654, 297.418231874, 121.892166903, 124.078064448, 180.400855227, 87.7630324852, 8.46932873514, 9.59108402907, 6.0039804196, 0.0742764861627, -0.0833252334584, 20.4182318737, 30.2221669033, -19.9319355519, 26.9508552268, -4.89696751477, -2.50867126486, 0.605084029073, 0.936980419598, 0.0183264861627
16.0, 1.81678136034, -1.81678136034, 0.0, 0.5, 0.0, 953.555760584, 0.316808916907, 0.0, 7011.5935445, 0.0469472305899, 45.6335996716, 4.37678401387, 260.092916918, 111.338918836, 111.220374804, 160.923584863, 74.3769990409, 8.91229232405, 9.24501824397, 5.74977180929, 0.0600927629519, 0.130784013867, -16.9070830819, 19.6689188362, -32.7896251963, 7.47358486349, -18.2830009591, -2.06570767595, 0.259018243966, 0.682771809286, 0.00414276295189
18.0, 1.79192392746, -1.79192392746, 0.0, 0.5, 0.0, 664.829892323, 0.329255210796, 0.0, 1602.92579017, 0.254975334451, 68.8534735062, 4.25763460776, 246.472454147, 126.920704951, 123.194669524, 166.771288016, 59.7758745978, 8.17828138972, 8.59025866328, 5.17336184916, 0.0623726808582, 0.0116346077639, -30.5275458533, 35.2507049512, -20.8153304759, 13.3212880164, -32.8841254022, -2.79971861028, -0.39574133672, 0.106361849165, 0.00642268085824
19.0, 1.73484385885, -1.73484385885, 0.0, 0.5, 0.0, 1089.567407, 0.315403282563, 0.0, 3296.92105141, 0.264593779576, 36.0354587003, 4.5927635, 217.02530006, 95.1858656207, 93.2302077451, 135.799010434, 60.9197172199, 9.30224750967, 8.64980183382, 5.30542665112, 0.0489795802177, 0.3467635, -59.9746999396, 3.5158656207, -50.7797922549, -17.6509895661, -31.7402827801, -1.67575249033, -0.336198166179, 0.23842665112, -0.00697041978234
